ano;APGAR1;APGAR5;CODANOMAL;CODBAINASC;CODBAIRES;CODESTAB;CODMUNNASC;CODMUNRES;CODOCUPMAE;HORANASC;QTDFILMORT;QTDFILVIVO;UFINFORM
1996;2;5;;;;;7;7;;;5;8;
1997;4;2;;;;;7;7;;;2;2;
1998;2;2;;;;;7;7;;;5;2;
1999;2;2;4;;;;7;7;5;4;2;5;
2000;2;2;4;3;3;7;7;7;5;;2;2;
2001;2;2;4;3;3;7;7;7;5;;2;2;
2002;2;2;4;3;3;7;7;7;5;;2;2;2
2003;2;2;4;6;3;10;7;7;5;;2;2;2
2004;2;2;4;3;3;7;7;7;5;;2;2;2
2005;2;2;4;3;3;7;7;7;8;;2;2;8
2006;2;2;20;8;8;7;6;6;6;4;2;2;2
2007;2;2;20;8;8;7;6;6;6;4;2;2;2
2008;2;2;20;8;8;7;6;6;6;4;2;2;2
2009;2;2;20;8;8;7;6;6;6;4;2;2;2
2010;2;2;20;;;7;6;6;6;5;2;2;
2011;2;2;20;;;7;6;6;6;5;2;2;
2012;2;2;20;;;7;6;6;6;5;2;2;
2013;2;2;20;;;7;6;6;6;5;2;2;
2014;2;2;20;;;7;6;6;6;5;2;2;
2015;2;2;20;;;7;6;6;6;5;2;2;
2016;2;2;20;;;7;6;6;;5;2;2;
2017;2;2;20;;;7;6;6;6;5;2;2;
2018;2;2;20;;;7;6;6;6;5;2;2;
