"ano";"t1";"T1";"t2";"T2";"t3";"T3";"t4";"T4";"t5";"T5";"t6";"T6";"t7";"T7";"t8";"T8";"t9";"T9";"t10";"T10"
"1996";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1997";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1998";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1999";0;0;0;0;0;862;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2000";0;0;0;0;0;648;0;0;0;0;0;0;0;0;0;0;0;8;0;0
"2001";0;0;0;0;5;15614;0;0;0;0;0;0;0;0;0;0;629994;2432223;0;0
"2002";0;0;0;0;0;16201;0;0;0;0;0;0;0;0;0;0;620974;2391049;0;0
"2003";0;0;0;0;2;16967;0;0;0;0;0;0;0;0;0;0;89459;2900904;0;0
"2004";0;0;0;0;2;18355;0;0;0;0;0;0;0;0;0;0;144231;2838719;0;0
"2005";0;0;0;0;0;18809;0;0;0;0;0;0;0;0;0;0;17785;2974599;0;0
"2006";0;0;0;0;306;18220;869;2783101;0;0;0;0;40453;2775915;0;0;20556;2884511;0;0
"2007";0;0;0;0;560;18442;1075;2868392;0;0;0;0;21336;2846631;0;0;22360;2829235;0;0
"2008";0;0;0;0;663;19237;2600;2931849;0;0;0;0;1076;2916931;0;0;2788;2896598;0;0
"2009";0;0;0;0;346;20728;2710;2879029;0;0;0;0;635;2868994;0;0;2281;2846542;0;0
"2010";4046;60325;2577;59584;237;21547;993;2860749;9;56912;0;0;332;2856240;1;75922;1035;2831702;0;34880
"2011";63367;1432507;35293;1419024;85;22916;608;2912690;105;1227446;0;0;107;2910713;29;1669603;430;2883383;21;2140016
"2012";71999;2495255;39555;2480104;76;22324;351;2904893;68;1879992;0;0;0;2903371;15;2789780;0;2877896;26;2764801
"2013";57803;2574066;30414;2561038;26;23108;342;2902326;55;1799673;0;0;1;2900610;7;2870697;0;2877493;24;2818673
"2014";50750;2680525;26019;2668277;0;22285;271;2978683;60;1741748;0;0;0;2976911;5;2955118;18;2952062;39;1633846
"2015";46621;2723325;22237;2712742;41;24444;336;3016916;66;1644048;0;0;1;3013994;6;2983253;0;2991462;26;1612792
"2016";43780;2613766;21591;2605168;48;26008;281;2856634;23;1486549;1043;2856634;0;2853717;7;2832371;0;2831367;20;2807137
"2017";41440;2709685;21181;2702070;75;25214;406;2891321;34;1495109;0;0;0;2874738;3;2896071;0;2896837;23;2874898
"2018";38194;2779902;18802;2774651;32;25902;314;2630348;30;1560839;0;0;0;2391144;10;2920897;0;2918469;21;2905749
