"UF";"t1";"T1";"t2";"T2";"t3";"T3";"t4";"T4";"t5";"T5";"t6";"T6";"t7";"T7";"t8";"T8";"t9";"T9";"t10";"T10"
"AC";12663;92441;8144;89652;8;1084;12;216590;1;108321;0;15773;1;215215;0;134229;1;274196;1;108373
"AL";16698;339947;7839;334880;18;5181;164;679656;4;303864;41;48164;2;677334;4;411914;6;1002244;2;334192
"AM";17684;508911;10272;496252;23;7915;238;982441;10;343037;0;76703;0;974965;1;620114;12;1252704;15;516588
"AP";3127;99062;1655;96873;6;952;39;196388;2;84247;14;15521;0;195550;0;122840;2;260343;2;102448
"BA";38945;1198903;17568;1173588;122;24645;922;2717547;23;1085988;60;199830;80;2671654;3;1616844;1928;3868872;19;1359854
"CE";11480;795177;5304;784870;122;15655;402;1677659;45;714322;99;126246;2;1671087;5;984881;117;2377342;5;855193
"DF";5081;331087;2503;331856;23;4563;82;559472;1;265097;1;43340;2950;557559;1;356043;16;804194;1;296108
"ES";7351;423967;2541;423216;173;5262;164;686398;9;197380;0;53413;2;683360;8;433647;5;966308;14;390142
"GO";19411;621959;8183;618109;88;10040;174;1173273;30;483290;0;95563;626;1172709;17;735346;17;1662589;7;647503
"MA";29994;764865;19070;762355;19;7136;1820;1545724;31;733572;210;110492;999;1541141;6;882073;24;2069190;27;754106
"MG";29449;1875920;13699;1878031;201;31682;1668;3354768;35;1172227;112;253519;12571;3296602;8;1950143;144851;4641476;17;1757184
"MS";4665;316474;2110;316943;14;4290;477;542827;8;187647;0;42430;6;542411;2;318736;169;741030;0;294029
"MT";8268;412461;3469;412037;57;5896;171;672270;4;207718;18;53531;5;669384;4;442369;22;919868;2;393351
"PA";19990;795700;12912;781921;50;11659;482;1849281;36;803786;58;137681;18;1835274;1;1023588;9;2449132;25;914972
"PB";39192;439420;32632;439003;181;9068;514;756848;5;393024;0;56083;175;753155;1;458652;6;1077438;8;396163
"PE";17454;1101439;9060;1102920;65;21808;203;1818289;40;778600;11;130733;13;1813729;0;1111716;34;2581654;9;958036
"PI";5906;329074;4243;328203;7;3992;261;643749;8;313751;17;46986;7;642475;1;379165;18;914891;0;324031
"PR";14523;1086907;6597;1089148;57;19129;261;1985205;13;446807;131;155066;131;1984080;1;1094321;136;2805764;5;1027732
"RJ";32351;1616619;16218;1616653;239;29547;332;2860023;25;716188;0;219129;234;2777362;4;1678007;72;4029291;14;1531621
"RN";8176;296444;3622;292074;71;5612;165;617709;10;289570;0;45366;96;616206;1;372902;7;880662;6;327634
"RO";4780;178243;2837;176882;27;2919;102;343898;0;134854;0;26602;1971;340858;0;201191;8;487007;5;177137
"RR";865;86912;556;87223;28;878;7;136690;2;74240;0;11376;0;132032;0;89213;8;167662;0;77328
"RS";13981;1065429;6032;1066501;76;22841;380;1648737;6;339970;0;141411;3;1636876;3;1086983;8;2564837;2;987465
"SC";8348;679851;3183;679679;21;13356;77;1160596;7;373251;0;95313;2;1159205;3;696214;18;1591521;1;637451
"SE";1951;210216;850;204111;44;5245;341;449997;5;97707;6;32218;14;448958;0;271819;1;632058;1;231423
"SP";42269;4230406;14838;4229144;744;104658;1182;7818459;89;2126531;265;600275;43815;7760255;9;4329852;1404413;9583131;10;4023557
"TO";3398;171522;1732;170534;20;2818;516;322437;1;117327;0;23870;218;320473;0;190910;3;449655;2;169171
