ano;T1;t1;T2;t2;T3;t3;T4;t4;T5;t5;T6;t6;T7;t7;T8;t8;T9;t9
2008;196979;4724;929492;161;470637;326;202197;0;288839;0;431530;0;586519;0;928144;0;928144;0
2009;269668;189;1209758;98;713102;0;200750;0;276341;0;578118;0;720225;0;1209837;0;1209837;0
2010;309196;429;1304981;6;789853;0;229596;0;314325;0;649348;0;793441;0;1305044;0;1305044;0
2011;420403;5793;1404532;14;876377;0;325478;0;418653;0;736139;0;885066;0;1404716;0;1404716;0
2012;255605;102;1402145;53;767714;0;171108;0;256218;0;550484;0;764382;0;1402163;0;1402163;0
2013;287848;780;1489837;97;850324;0;180134;0;287244;0;625942;0;845070;0;1489844;0;1489844;0
2014;389494;345;1456557;95;901409;0;268546;0;389229;0;699568;0;897489;0;1456605;0;1456605;0
2015;475484;351;1672855;170;1117892;0;338308;0;475383;0;874327;0;1115699;0;1672931;0;1672931;0
2016;354728;404;1648303;146;887963;0;237343;0;355470;0;601296;0;887503;0;1648320;0;1648320;0
2017;326510;90;1688102;133;898552;0;205147;0;326151;0;604464;0;898726;0;1688166;0;1688166;0
2018;331426;27;1512275;25;886958;0;220294;0;330728;0;606069;0;886042;0;1512277;0;1512277;0
2019;281465;60;1193823;143;647533;0;185774;0;281282;0;502485;0;647702;0;1193954;0;1193954;0
