ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2008;17182925;17182925;17182925;17182925;17182925;16745036
2009;18416532;18416532;18416532;18416532;18416532;17950790
2010;16160524;16160524;16160524;16160524;16160524;15791618
2011;18988029;18988029;18988029;18988029;18988029;18465687
2012;26647476;26647476;26647476;26647476;26647476;26002192
2013;29949436;29949436;29949436;29949436;29949436;29220484
2014;32623982;32623982;32623982;32623982;32623982;31814579
2015;35382165;35382165;35382165;35382165;35382165;34507050
2016;36028901;36028901;36028901;35340379;35340379;34799253
2017;37122526;37122526;37122526;35711577;35711577;35525446
2018;31306297;31306297;31306297;30130677;30130677;29946023
2019;25182592;25182592;25182592;24221761;24221761;23809776
